Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES,NPI
571586f2-fa7e-3efe-8622-9138312322c5,588f6ce6-b8db-3588-8189-29db2680a313,Dorotea472 Valdés907,F,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,21302331,42.3115876,-71.09800136347226,4621,0,9999973693
9635ae17-527f-3b37-b712-d823c37f52ae,b6398e07-4967-31a5-807f-380039a1f303,Aleen595 Lueilwitz711,F,GENERAL PRACTICE,19 TACOMA ST,WORCESTER,MA,16053516,42.30230485,-71.76614692511056,1558,0,9999977090
3303d857-9d18-38a4-a5ff-0670ba11690a,faffaf6a-ee1a-3673-b0b0-421a9c249244,Gustavo235 Armstrong51,M,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,20722571,42.14415820061801,-71.10378319512402,16527,0,9999949297
25c995e6-2822-31be-a0c2-e50bff7cdd70,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Jules135 Emard19,M,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,14533290,42.54031915,-71.76312990486304,40,0,9999990390
fed811de-7925-3c61-9e86-c28c5a6b540b,77645e49-3f69-3d1d-bb93-dc65210e2fac,Vella930 Ankunding277,F,GENERAL PRACTICE,363 HIGHLAND AVE,FALL RIVER,MA,27205246,41.7093779,-71.1460783680883,9,0,9999995696
54031be2-c91b-3a39-9f80-4385b3fae1b6,d2284f74-b6da-3a15-9791-84cdf2db18fb,Donnell534 Mosciski958,M,GENERAL PRACTICE,331 E FALMOUTH HWY,E FALMOUTH,MA,25366039,41.57853245,-70.5617374807812,137,0,9999962993
db9b7865-b744-3282-9a0c-eb66d642b116,03d0392a-7361-32b3-81c9-8c8ac985be00,Sid118 Daniel959,M,GENERAL PRACTICE,280 WASHINGTON ST STE 204,BROOKLINE,MA,24451922,42.33302785,-71.1193506756953,2703,0,9999964197
32c8fbf2-fee2-31bb-9d5d-60b70c34408f,2f4e1b5e-e2ad-3081-80f5-4521124e9d28,Chasity985 Daniel959,F,GENERAL PRACTICE,171 HIGHLAND ST APT 303,TAUNTON,MA,27804446,41.8946107,-71.11113,733,0,9999943290
aa879a59-f6c4-3fcd-a775-646b3c3604bf,2936ca90-6594-357d-be14-53fe0ab84dd1,Daniel959 Ankunding277,M,GENERAL PRACTICE,11 TREMONT ST,KINGSTON,MA,23641231,42.00823215,-70.72984043580247,32679,0,9999949792
403ba575-afff-312d-9ab9-5579d7fc1b54,e3089df2-a1db-372a-b660-30392d8c197b,Isaiah615 Waters156,M,GENERAL PRACTICE,178 N MAIN ST,SHARON,MA,20671229,42.13301625,-71.17263163492832,1809,0,9999942391
45a0507e-3b77-37a6-9c7f-09a51baa65af,42d4b607-f14d-370a-818e-40965685776c,Luisa710 Piña753,F,GENERAL PRACTICE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,23561034,42.0667665,-71.1036592,45096,0,9999957993
59bd9df8-624e-313d-8df5-0e9e32c5103d,71472d9b-aa5c-3b49-a5c3-d0eee8859015,Tyree261 Kutch271,M,GENERAL PRACTICE,118 WATERHOUSE RD STE C,BOURNE,MA,25328305,41.7281115,-70.5861571324252,73,0,9999951996
48cecc7d-468c-3efc-9dd9-800edec18094,88e28a1c-aad9-36d0-832b-b579ecb95c3d,Isabel214 Saavedra625,F,GENERAL PRACTICE,14 MANNING AVENUE,LEOMINSTER,MA,14535768,42.5253035,-71.7584413,5714,0,9999978395
ac806e8d-a572-3127-a38d-1f9391189908,4cf79e95-2815-3a4c-a3b8-951fe548dd27,Tracey100 Champlin946,F,GENERAL PRACTICE,20 ELM ST,PITTSFIELD,MA,12016502,42.4458896,-73.2448206979669,103,0,9999945097
27791ddb-eda2-3194-90d8-c00980111a47,65450d34-6d61-3601-b325-9d471587b016,Rachael540 Moore224,F,GENERAL PRACTICE,4 COURTHOUSE LN,CHELMSFORD,MA,18241731,42.62439345,-71.35881000636567,951,0,9999961995
54a8357c-3eaa-3f9c-8437-8a6946a2e938,0c8cc36b-3025-37ad-b7ab-50ea3aeea5a8,Jenniffer979 Terry864,F,GENERAL PRACTICE,143 LONGWATER DRIVE,WEYMOUTH,MA,21902432,42.2212188,-70.9391625,2314,0,9999969998
18a2e90e-0719-382e-9281-b14639a56056,3f4167a5-1477-35da-a456-fc05c8858aa7,Ouida808 Bednar518,F,GENERAL PRACTICE,244 MAIN STREET ANNEX,WORCESTER,MA,16023339,42.2625621,-71.8018877,734,0,9999956391
c6a9d971-244c-310f-94bf-1f12240a6827,75f0d4cd-dbbb-3037-b6ad-2e99665728c7,Jaime666 Arce139,M,GENERAL PRACTICE,70 FULTON ST,BOSTON,MA,21091402,42.362439499999994,-71.05377386223965,3093,0,9999943399
e98492ea-0855-33ba-9b21-b5c8f384a51a,39104cad-5228-3e07-9b3e-3ad736b33d5d,Hilda552 Muller251,F,GENERAL PRACTICE,200 PROVIDENCE HWY,DEDHAM,MA,20261881,42.22214545274341,-71.18159060546684,1487,0,9999946699
af7a10c9-b38e-3735-95cd-89679baed604,a3a72023-3f37-3d77-be82-62085a912993,Horace32 Bradtke547,M,GENERAL PRACTICE,311 STATE STREET,SPRINGFIELD,MA,11051140,42.10500795,-72.58124154847081,2477,0,9999974196
